OBJECTID,X,Y,Z
456,-84.46546725,38.15916972,847.036087
457,-84.46545511,38.15916972,847.2781067
458,-84.46544297,38.15916972,847.5466156
459,-84.46543083,38.15916972,848.1349335
460,-84.46541869,38.15916972,848.8517761
461,-84.46540655,38.15916972,849.6736908
462,-84.46539441,38.15916972,850.4959564
463,-84.46538227,38.15916972,851.2124634
464,-84.46537013,38.15916972,851.7952423
465,-84.46535799,38.15916972,852.3301086
466,-84.46534585,38.15916972,852.6013184
467,-84.46533371,38.15916972,852.8595276
468,-84.46532158,38.15916972,853.3420715
469,-84.46530944,38.15916972,853.9140625
470,-84.4652973,38.15916972,854.6181946
471,-84.46528516,38.15916972,855.3659973
472,-84.46527302,38.15916972,856.1986084
473,-84.46526088,38.15916972,857.151413
474,-84.46524874,38.15916972,858.6381226
475,-84.4652366,38.15916972,859.6133118
476,-84.46522446,38.15916972,860.4293823
477,-84.46521232,38.15916972,861.8403625
478,-84.46520018,38.15916972,862.800827
479,-84.46518804,38.15916972,863.4560242
480,-84.4651759,38.15916972,863.9751282
481,-84.46516376,38.15916972,864.4361572
482,-84.46515162,38.15916972,864.9093933
483,-84.46513948,38.15916972,865.3913879
484,-84.46512734,38.15916972,865.6317139
485,-84.4651152,38.15916972,865.6082916
486,-84.46510306,38.15916972,865.536438
487,-84.46509092,38.15916972,865.4213562
488,-84.46507878,38.15916972,865.2995758
489,-84.46506664,38.15916972,865.2451324
490,-84.4650545,38.15916972,865.3483582
491,-84.46504236,38.15916972,865.4308624
492,-84.46503022,38.15916972,865.4152679
493,-84.46501808,38.15916972,865.4197083
494,-84.46500594,38.15916972,865.5184479
495,-84.4649938,38.15916972,865.7733154
496,-84.46498166,38.15916972,866.0921326
497,-84.46496952,38.15916972,866.4618378
498,-84.46495738,38.15916972,866.9488373
499,-84.46494524,38.15916972,867.6030121
500,-84.4649331,38.15916972,868.4888306
501,-84.46492096,38.15916972,869.0004578
502,-84.46490882,38.15916972,869.5274048
503,-84.46489668,38.15916972,870.5944824
504,-84.46488454,38.15916972,871.6981812
505,-84.4648724,38.15916972,872.866333
506,-84.46486027,38.15916972,874.1677399
507,-84.46484813,38.15916972,875.4943695
508,-84.46483599,38.15916972,876.6625671
509,-84.46482385,38.15916972,877.682312
510,-84.46481171,38.15916972,878.1636658
511,-84.46479957,38.15916972,878.720993
512,-84.46478743,38.15916972,879.7695007
513,-84.46477529,38.15916972,880.7434998
514,-84.46476315,38.15916972,881.6320953
515,-84.46475101,38.15916972,882.3580322
516,-84.46473887,38.15916972,883.0864868
517,-84.46472673,38.15916972,883.8431702
518,-84.46471459,38.15916972,884.5358276
519,-84.46470245,38.15916972,884.8800964
520,-84.46469031,38.15916972,885.2402496
521,-84.46467817,38.15916972,885.9761047
522,-84.46466603,38.15916972,886.6490784
523,-84.46465389,38.15916972,887.2605896
524,-84.46464175,38.15916972,887.8381195
525,-84.46462961,38.15916972,888.2960205
526,-84.46461747,38.15916972,888.6239319
527,-84.46460533,38.15916972,888.9178619
528,-84.46459319,38.15916972,889.0784912
529,-84.46458105,38.15916972,889.2554474
530,-84.46456891,38.15916972,889.6158295
531,-84.46455677,38.15916972,889.9774017
532,-84.46454463,38.15916972,890.2669067
533,-84.46453249,38.15916972,890.4936066
534,-84.46452035,38.15916972,890.7264099
535,-84.46450821,38.15916972,890.9398651
536,-84.46449607,38.15916972,891.0818939
537,-84.46448393,38.15916972,891.1279297
538,-84.46447179,38.15916972,891.1168365
539,-84.46445965,38.15916972,891.0972443
540,-84.46444751,38.15916972,891.0932007
541,-84.46443537,38.15916972,891.1257477
542,-84.46442323,38.15916972,891.2227478
543,-84.46441109,38.15916972,891.249176
544,-84.46439896,38.15916972,891.2226868
545,-84.46438682,38.15916972,891.260437
546,-84.46437468,38.15916972,891.282196
547,-84.46436254,38.15916972,891.2881622
548,-84.4643504,38.15916972,891.3068085
549,-84.46433826,38.15916972,891.3322601
550,-84.46432612,38.15916972,891.3205261
551,-84.46431398,38.15916972,891.2469482
552,-84.46430184,38.15916972,891.146637
553,-84.4642897,38.15916972,891.0910187
