FID,Z,LON,LAT
28585,178.54,-83.42875872,39.02641853
28586,180.02,-83.42912855,39.02631343
28587,199.57,-83.43035557,39.02596306
28588,172.76,-83.43150089,39.02564204
28589,195.52,-83.43071001,39.02586729
28590,198.7,-83.43052835,39.02591882
28591,193.35,-83.42987878,39.02610517
28592,200.24,-83.43046758,39.02594189
28593,170.62,-83.43209291,39.02548563
28594,198.33,-83.43055592,39.02592113
28595,177.81,-83.42840108,39.02653914
28596,170.68,-83.43210519,39.0254933
28597,187.96,-83.43108777,39.0257813
28598,199.86,-83.43038624,39.02598503
28599,199.84,-83.43040763,39.025979
28600,198.81,-83.43055281,39.02593814
28601,196.8,-83.43066218,39.02590747
28602,195.05,-83.43077281,39.02587652
28603,196.23,-83.43070133,39.02590053
28604,198.33,-83.43057492,39.02593623
28605,200.14,-83.43045526,39.02597008
28606,197.36,-83.4306353,39.02592524
28607,194.76,-83.43080657,39.02587726
28608,199.98,-83.43040355,39.02599458
28609,189.34,-83.42963077,39.02621566
28610,177.93,-83.4290401,39.02638501
28611,177.61,-83.4289144,39.0264315
28612,182,-83.42933413,39.02631275
28613,198.45,-83.43021896,39.02606177
28614,197.4,-83.43065508,39.02594294
28615,199.93,-83.43035181,39.02602864
28616,199.48,-83.43029828,39.0260439
28617,177.64,-83.4284254,39.02657809
28618,179.47,-83.42923435,39.02635042
28619,188.85,-83.42964811,39.02623305
28620,200.33,-83.43042075,39.02601468
28621,197.19,-83.43067554,39.02594342
28622,195.89,-83.43007075,39.02611865
28623,184.94,-83.42945032,39.02629564
28624,180.02,-83.42927474,39.02634588
28625,177.75,-83.42860395,39.02653699
28626,177.55,-83.42871642,39.02650545
28627,178.34,-83.42888093,39.02645914
28628,195.72,-83.43004768,39.02612958
28629,198.03,-83.43063022,39.02596589
28630,200.93,-83.4304854,39.02601027
28631,201.02,-83.43045852,39.02601785
28632,179.71,-83.42927391,39.02635536
28633,179.28,-83.42924965,39.02636217
28634,177.5,-83.42872377,39.02651106
28635,176.97,-83.42834879,39.02661753
28636,198.92,-83.43059085,39.02598663
28637,198.35,-83.4306229,39.02598136
28638,201.1,-83.43044889,39.02603013
28639,177.34,-83.42842457,39.02660424
28640,176.79,-83.42839565,39.02661313
28641,177.28,-83.42844518,39.02659922
28642,177.44,-83.4286772,39.0265342
28643,177.45,-83.42872537,39.02652076
28644,178,-83.42909811,39.02641632
28645,190.13,-83.42974059,39.02623518
28646,200,-83.43052585,39.02601438
28647,199.29,-83.43056933,39.0260023
28648,198.67,-83.43060743,39.02599169
28649,198.07,-83.43064564,39.02598107
28650,172.59,-83.43158554,39.02572262
28651,201.16,-83.43045048,39.02603946
28652,200.4,-83.43039168,39.0260561
28653,178.41,-83.42922087,39.02638854
28654,177.96,-83.42886794,39.02648797
28655,177.84,-83.42883122,39.02649837
28656,177.34,-83.42867716,39.02654303
28657,199.21,-83.43059426,39.02600854
28658,177.29,-83.42907336,39.026439
28659,177.36,-83.42864778,39.02655869
28660,176.6,-83.42836852,39.0266373
28661,177.83,-83.42912354,39.02642696
28662,190.74,-83.42978812,39.02624013
28663,191.82,-83.42982793,39.02622894
28664,195.58,-83.43004393,39.02616831
28665,195.45,-83.43083977,39.02594963
28666,199.66,-83.4305597,39.02602791
28667,199.9,-83.43054334,39.02603248
28668,200.25,-83.43050547,39.02604309
28669,200.95,-83.43046211,39.02605517
28670,200.96,-83.43041383,39.02606879
28671,177.66,-83.42912435,39.02643361
28672,177.81,-83.42888026,39.02650384
28673,177.51,-83.42892134,39.02649235
28674,200.17,-83.43037591,39.02608472
28675,200.71,-83.43040795,39.02607576
28676,198.43,-83.43064559,39.02600981
28677,194.84,-83.43088358,39.02594394
28678,193.75,-83.43093941,39.02593152
28679,193.88,-83.42993528,39.02621337
28680,192.13,-83.42985188,39.026237
28681,198.02,-83.43020611,39.02614168
28682,199.07,-83.43027635,39.02612202
28683,199.45,-83.43058825,39.02603524
28684,197.79,-83.43069763,39.02600494
28685,196.24,-83.43080277,39.02597896
28686,199.65,-83.43057807,39.02604158
28687,200.2,-83.43051309,39.02605978
28688,177.31,-83.42873824,39.02655932
28689,177.31,-83.42867227,39.02657899
28690,177.26,-83.42870236,39.0265707
28691,177.29,-83.42882342,39.02653701
28692,196.61,-83.43078343,39.02599072
28693,172.72,-83.43163659,39.02575616
28694,198.14,-83.4306864,39.02602094
28695,201.32,-83.43045837,39.02608444
28696,187.19,-83.42963239,39.02631689
28697,177.05,-83.42855079,39.02662035
